event_id,event_type,period_id,timestamp,end_timestamp,ball_state,ball_owning_team,team_id,player_id,coordinates_x,coordinates_y,end_coordinates_x,end_coordinates_y,receiver_player_id,set_piece_type,body_part_type,result,success,pass_type,is_under_pressure,is_counter_attack,match_id,home_team,away_team
27d5b732-0bfe-45f9-a134-f4fcde97fced,PASS,1,0 days 00:10:37.087000,0 days 00:10:39.087000,alive,787,787,5671,0.5479285714285714,0.6549264705882353,0.5479285714285714,0.3450735294117647,5675,,LEFT_FOOT,COMPLETE,True,,True,,7556,Japan,Senegal
3cf67a6a-755d-4ddb-b315-7d152c1ff38e,PASS,1,0 days 00:10:41.527000,0 days 00:10:44.887000,alive,787,787,5675,0.6305442176870748,0.22375,0.8996031746031745,0.8360457516339869,2941,,LEFT_FOOT,COMPLETE,True,LONG_BALL,,,7556,Japan,Senegal
fabe6903-5bde-45cf-8747-ecec57e09308,PASS,1,0 days 00:10:47.287000,0 days 00:10:48.167000,alive,787,787,2941,0.8996031746031745,0.8247385620915032,0.9432539682539683,0.6818872549019608,5661,,RIGHT_FOOT,COMPLETE,True,,,,7556,Japan,Senegal
1cd89a4b-2e1d-4ccf-a01e-680eea0d5fb1,PASS,1,0 days 00:10:49.287000,0 days 00:10:50.686000,alive,787,787,5661,0.9607142857142857,0.722328431372549,0.9345238095238095,0.869967320261438,5674,,RIGHT_FOOT,COMPLETE,True,,True,,7556,Japan,Senegal
37f1034b-f8f1-4c89-b84c-b4cf768dd092,PASS,1,0 days 00:10:51.047000,0 days 00:10:53.074000,alive,787,787,5674,0.9257936507936507,0.869967320261438,0.9607142857142857,0.3720343137254902,,,RIGHT_FOOT,INCOMPLETE,False,LONG_BALL,,,7556,Japan,Senegal
586cc7e8-4142-40e3-b5e4-f6e43177b676,PASS,1,0 days 00:12:10.554000,0 days 00:12:12.007000,alive,778,778,5681,0.42592857142857143,0.45290441176470586,0.38523809523809527,0.2911519607843137,5682,,RIGHT_FOOT,COMPLETE,True,,,,7556,Japan,Senegal
8de3fbb5-2244-4a09-b966-70cc7aa6862b,PASS,1,0 days 00:12:13.314000,0 days 00:12:15.047000,alive,778,778,5682,0.43464285714285716,0.30463235294117647,0.32999999999999996,0.6549264705882353,3300,,LEFT_FOOT,COMPLETE,True,,,,7556,Japan,Senegal
1c360ab5-7171-4f5d-98e4-03f1be6f9024,PASS,1,0 days 00:12:20.794000,0 days 00:12:22.247000,alive,778,778,3300,0.4433571428571429,0.5740441176470588,0.43464285714285716,0.21026960784313728,5682,,RIGHT_FOOT,COMPLETE,True,,,,7556,Japan,Senegal
6b4964f8-1428-4784-b5fa-10e480689233,PASS,1,0 days 00:12:23.394000,0 days 00:12:28.287000,alive,778,778,5682,0.4433571428571429,0.22375,0.9345238095238095,0.23723039215686278,,,LEFT_FOOT,INCOMPLETE,False,LONG_BALL,True,,7556,Japan,Senegal
a24a9933-1dfd-401c-afaf-d3dfd52f4699,PASS,1,0 days 00:12:47.474000,0 days 00:12:51.154000,alive,787,787,5659,0.15277777777777776,0.6818872549019608,0.6857823129251701,0.7492892156862745,5661,,DROP_KICK,COMPLETE,True,LONG_BALL,,True,7556,Japan,Senegal
635fbd59-f0dc-4de9-9c85-9da79ebe01b3,PASS,1,0 days 00:13:13.287000,0 days 00:13:14.807000,alive,787,787,5674,0.8211309523809524,0.9943464052287583,0.9083333333333333,0.802124183006536,5661,THROW_IN,,COMPLETE,True,SHOT_ASSIST,,,7556,Japan,Senegal
feb800e5-822d-4b2c-9ce3-66c162d828f7,PASS,1,0 days 00:13:25.754000,0 days 00:13:26.967000,alive,778,778,3175,0.12658730158730158,0.533639705882353,0.11785714285714285,0.7492892156862745,3300,,KEEPER_ARM,COMPLETE,True,HAND_PASS,,,7556,Japan,Senegal
788cb239-079d-4fb6-afab-bee2442ee46d,PASS,1,0 days 00:13:29.954000,0 days 00:13:30.874000,alive,778,778,3300,0.17017857142857143,0.7358088235294117,0.24319727891156462,0.722328431372549,5693,,RIGHT_FOOT,COMPLETE,True,,,,7556,Japan,Senegal
d0ac57d3-ab1e-4b7b-ae12-648c1c9864df,PASS,1,0 days 00:13:30.874000,0 days 00:13:32.234000,alive,778,778,5693,0.24319727891156462,0.7088480392156863,0.19585034013605443,0.8134313725490195,3300,,RIGHT_FOOT,COMPLETE,True,,,,7556,Japan,Senegal
16c16ee1-2fc2-4a6c-a528-6d4cb589a1bf,PASS,1,0 days 00:13:32.234000,0 days 00:13:33.687000,alive,778,778,3300,0.20374149659863947,0.8134313725490195,0.23530612244897958,0.6549264705882353,5693,,RIGHT_FOOT,COMPLETE,True,,,,7556,Japan,Senegal
